,designation,company_name,Number_of_Employees,job_description,skills,Years_of_Experience,Category,company_class,Department
0,Business Development Associate (Drive),MakeMyTrip,1000,Function: Sales and Business → Sales / Business Development,"Business Development
Revenue Management
Sales",4,Junior,Class1,Sales and Business
1,Business Manager (Drive),MakeMyTrip,1000,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Key Account Management
Microsoft Excel
Microsoft PowerPoint
Sales
Stakeholder Management",6,Senior,Class1,Sales and Business
2,Business Manager (Drive),MakeMyTrip,1000,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Key Account Management
Microsoft Excel
Microsoft PowerPoint
Sales
Stakeholder Management",6,Senior,Class1,Sales and Business
3,Key Account Manager (Drive),MakeMyTrip,1000,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Key Account Management
Profit and Loss Management
Sales
Stakeholder Management",7,Senior,Class1,Sales and Business
4,Senior Business Development Manager (Drive),MakeMyTrip,1000,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Key Account Management
Microsoft Excel
Microsoft PowerPoint
Sales",5,Senior,Class1,Sales and Business
5,Core Java Developer (Drive),Publicis Sapient,1000,Function: Software Engineering → Backend Development,"AWS
Azure
Google Cloud
Java
Kafka
Kibana
Monitoring
Multithreading
NoSQL
RDBMS",6,Senior,Class1,Software Engineering
6,DevOps & Cloud (Drive),Publicis Sapient,1000,Function: IT Operations and Support → DevOps / Cloud,"AWS
Ansible
Azure
CI - CD
DevOps
Docker
Google Cloud
Kubernetes
Terraform",6,Senior,Class1,IT Operations and Support
7,Java Microservices Developer (Drive),Publicis Sapient,1000,Function: Software Engineering → Backend Development,"Amazon API Gateway
Java
Microservices
Multithreading
Splunk
Spring Boot",6,Senior,Class1,Software Engineering
8,Quality Engineering (Selenium) (Drive),Publicis Sapient,1000,Function: Software Engineering → QA / SDET,"API Testing
Automation Testing
Behavior Driven Development
Cucumber
Data Structures
Git
Java
Manual Testing
POM
SDET
Selenium",6,Senior,Class1,Software Engineering
9,Inside Sales Specialist (Drive),Skill-Lync,1000,Function: Sales and Business → Sales / Business Development,"Sales
Telecalling",3,Junior,Class1,Sales and Business
10,Enterprise Sales Lead (Drive),Cogoport,500,Function: Sales and Business → Sales / Business Development,"Corporate Sales
Sales",10,Lead,Class3,Sales and Business
11,Assistant Manager / Deputy Manager - Collection (Drive),FreeCharge,500,Function: Sales and Business → Sales / Business Development,"Budgeting
Business Development
Payment Collection
Sales",8,Lead,Class3,Sales and Business
12,City Head - Channel Sales (Drive),FreeCharge,500,Function: Sales and Business → Sales / Business Development,"Business Development
Channel Sales
Sales",9,Lead,Class3,Sales and Business
13,Senior Executive - Credit & Risk (Drive),FreeCharge,500,Function: Operations → Accounting / Finance,"Credit Risk Management
Finance
Financial Analysis
LAP",5,Senior,Class3,Operations
14,BDM / Sr. BDM (Drive),Hike Education,200,Function: Sales and Business → Sales / Business Development,"Business Development
Lead Generation
Sales",2,Fresher,Class2,Sales and Business
15,Sales and Support (Drive),Hike Education,200,Function: Sales and Business → Sales / Business Development,"Sales
Telecalling",2,Fresher,Class2,Sales and Business
16,Business Development Executive (Drive),Kutumb,200,Function: Sales and Business → Sales / Business Development,"Business Development
Sales
Telecalling",2,Fresher,Class2,Sales and Business
17,Customer Relations - Renewal Agent (Drive),MyBillBook (FloBiz),500,Function: Sales and Business → Customer Service,"Customer Interaction
Customer Service",3,Junior,Class3,Sales and Business
18,Customer Relations Manager - Upsell Agent (Drive),MyBillBook (FloBiz),500,Function: Sales and Business → Customer Service,"Customer Interaction
Customer Service",3,Junior,Class3,Sales and Business
19,Inside Sales Associate (Drive),MyBillBook (FloBiz),500,Function: Sales and Business → Sales / Business Development,"Business Development
Direct Sales
Sales
Telecalling",3,Junior,Class3,Sales and Business
20,AM Sales (Drive),Axis Bank,1000,Function: Sales and Business → Sales / Business Development,"Business Development
Lead Generation
Sales",4,Junior,Class1,Sales and Business
21,Business Development Executive (Drive),Axis Bank,1000,Function: Sales and Business → Sales / Business Development,"Business Development
Lead Generation
Sales",1,Fresher,Class1,Sales and Business
22,SO (Sales Officers) (Drive),Axis Bank,1000,Function: Sales and Business → Sales / Business Development,"Business Development
Lead Generation
Sales",3,Junior,Class1,Sales and Business
23,Zonal Head (Drive),coursefinder.ai,50,Function: Sales and Business → Sales / Business Development,"Business Development
Corporate Sales
Field Work
Key Account Management
Sales",12,Lead,Class4,Sales and Business
24,Manager - Finance & Accounts (Drive),goGlocal,50,Function: Operations → Accounting / Finance,"Accounting
Auditing
Chartered Accountant
Finance
Financial Analysis
Financial Planning
Financial Reporting
GST
Statutory Audit
Statutory Compliance
TDS
Taxation",7,Senior,Class4,Operations
25,HR Executive (Drive),Hike Education,200,Function: Human Resources → HR Generalist,"Documentation
Employee Engagement
Employee Grievances
Payroll Management",2,Fresher,Class2,Human Resources
26,Sr. Academic Counselor (Drive),Leap Finance,200,Function: Sales and Business → Sales / Business Development,Sales,5,Senior,Class2,Sales and Business
27,Finance & Accounts Manager (Drive),New Street Technologies,50,Function: Operations → Accounting / Finance,"Accounting
Compliance Management
Financial Analysis
GST
MIS
TDS
Taxation
Vendor Management",7,Senior,Class4,Operations
28,Digital Product Manager (Drive),Piramal Capital & Housing Finance,50,Function: Technical Management → Product Management,Product Management,11,Lead,Class4,Technical Management
29,Technical Program Manager - 2 (Drive),Piramal Capital & Housing Finance,50,Function: Technical Management → Engineering Management,Program Management,11,Lead,Class4,Technical Management
30,Oracle EBS Technical Consultant (Drive),Apps Associates,1000,Function: Software Engineering → Other Software Development,Oracle E-Business Suite,10,Lead,Class1,Software Engineering
31,Senior Cybersecurity Specialist,Bristol Myers Squibb,1000,Function: Software Engineering → QA / SDET,"OWASP
HTTP
AWS WAF
Ticketing and Booking
JavaScript",5,Senior,Class1,Software Engineering
32,Android Developer,Delhivery,1000,Function: Software Engineering → Mobile Development,"Android
Kotlin
Dagger
RxJava",7,Senior,Class1,Software Engineering
33,Oracle CPQ Developer (Drive),Equinix,1000,Function: Software Engineering → Other Software Development,Oracle CPQ,9,Lead,Class1,Software Engineering
34,Fullstack Developer Advisor [T500 - 7710,FedEx,1000,Function: Software Engineering → Full-Stack Development,"Java
Angular",6,Senior,Class1,Software Engineering
35,Android Developer,Innovaccer,1000,Function: Software Engineering → Mobile Development,"Android
Java
Kotlin
Dagger",7,Senior,Class1,Software Engineering
36,SDE-3 (Backend) (Drive),Jupiter,200,Function: Software Engineering → Backend Development,"Cassandra
Flask
Java
Kafka
LLD
Microservices
MySQL
Spring Boot",8,Lead,Class2,Software Engineering
37,Frontend Engineer,One Muthoot,1000,Function: Software Engineering → Frontend Development,"JavaScript
React.js
HTML
CSS
Angular",8,Lead,Class1,Software Engineering
38,SDET (Drive),TestVagrant,200,Function: Software Engineering → QA / SDET,"API Testing
Appium
Automation Testing
CI - CD
Git
Mobile Apps Testing
REST Assured
SDET
Selenium",5,Senior,Class2,Software Engineering
39,Recruiting - Operations Executive (Drive),Wayfair,1000,Function: Human Resources → Talent Acquisition,"Background Verification
Employee Induction
IT Recruitment
Microsoft Excel
Recruitment",10,Lead,Class1,Human Resources
40,Analyst - Engineer I - Service Desk,ANSR,200,Function: IT Operations and Support → IT Management / IT Support,"PPE
ITIL
L1 Support
System Integration",6,Senior,Class2,IT Operations and Support
41,Cloud Administrator,Circles.Life,200,"Function: IT Operations and Support → DevOps / Cloud, Systems Administration","AWS
IT Infrastructure
Network Administration
DNS",14,Lead,Class2,IT Operations and Support
42,System Analyst,Circles.Life,200,Function: Software Engineering → Backend Development,"Magento
PHP
Python
Perl
Bash",14,Lead,Class2,Software Engineering
43,Application Developer,CS Soft Solutions,500,"Function: Software Engineering → Backend Development, DevOps / Cloud, UX / Visual Design","Data Structures
Java
Spring Boot
OpenShift
Grafana",6,Senior,Class3,Software Engineering
44,Data Engineer,Lendingkart,500,"Function: Software Engineering → Backend Development, Big Data / DWH / ETL, DevOps / Cloud","Python
Spark
SQL
Data Structures
Algorithms",7,Senior,Class3,Software Engineering
45,SDE 2&3 - iOS / Android,Lupin,1000,Function: Software Engineering → Mobile Development,"React Native
JSON
Swift
iOS
Android",8,Lead,Class1,Software Engineering
46,SDE4,Mystifly,500,Function: Software Engineering → Backend Development,"Java
Python
C
Distributed Systems
Kafka",10,Lead,Class3,Software Engineering
47,DevOps Engineer,Symphony Technology Group,50,Function: IT Operations and Support → DevOps / Cloud,"AWS
Windows
Terraform
Kubernetes
Azure",9,Lead,Class4,IT Operations and Support
48,Staff Engineer,Tekion,200,Function: Software Engineering → Frontend Development,"React.js
JavaScript
jQuery
HTML
XML",13,Lead,Class2,Software Engineering
49,MEAN Stack Developer,TEKsystems,1000,Function: Software Engineering → Full-Stack Development,"Angular
Express.js
MongoDB
Node.js",8,Lead,Class1,Software Engineering
50,Senior Software Engineer,Bristol Myers Squibb,1000,Function: Software Engineering → Other Software Development,"Salesforce Service Cloud
Salesforce
HTML
Apex
SOQL",8,Lead,Class1,Software Engineering
51,Senior Software Engineer,Bristol Myers Squibb,1000,Function: Software Engineering → Backend Development,"Node.js
Python
AWS
SOAP
SQL",10,Lead,Class1,Software Engineering
52,Java Developer,Capgemini,1000,Function: Software Engineering → Backend Development,"Java
Microservices
AWS
Spring Boot
SOAP",9,Lead,Class1,Software Engineering
53,Solution Architect - .NET,Circles.Life,200,"Function: Software Engineering → Backend Development, Solution Architecture / Presales",".NET
Episerver
Sitecore
Umbraco
CMS",14,Lead,Class2,Software Engineering
54,Lead Engineer,Experion Technologies,1000,"Function: Software Engineering → Big Data / DWH / ETL, Data Science / Machine Learning, Full-Stack Development","AWS
Agile
Python
Terraform
ETL",15,Lead,Class1,Software Engineering
55,Lead Software Engineer,Experion Technologies,1000,"Function: Software Engineering → Backend Development, DevOps / Cloud, Full-Stack Development","AWS
Python
Terraform
Kubernetes",15,Lead,Class1,Software Engineering
56,Software Developer 2,FedEx,1000,Function: Software Engineering → Backend Development,"Java
Microservices
Spring Boot
Angular",7,Senior,Class1,Software Engineering
57,SE / SSE - Java Developer,Innovaccer,1000,Function: Software Engineering → Backend Development,"Java
Spring Boot
AWS
Data Structures
Algorithms",7,Senior,Class1,Software Engineering
58,Big Data Engineer,Tata Group,1000,Function: IT Operations and Support → Database Admin / Development,"SQL
Python
Database Development
AWS
Data Warehousing",8,Lead,Class1,IT Operations and Support
59,GCP Data Architect,Tata Group,1000,Function: IT Operations and Support → Database Admin / Development,"Database Administration
Spark
Google Cloud
SQL Server
Database Development",13,Lead,Class1,IT Operations and Support
60,Software Developer,EG,1000,Function: Software Engineering → Mobile Development,"React Native
JavaScript
Titanium",7,Senior,Class1,Software Engineering
61,Senior Business Intelligence Developer,Epsilon,1000,Function: Data Science and Analysis → Data Analysis / Business Intelligence,"Business Intelligence
Tableau
SQL
Data Visualization
Power BI",8,Lead,Class1,Data Science and Analysis
